Oil Climate Index Consolidated Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date Created,10/25/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oil Climate Index Webtool - Phase II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refer to oci.carnegiendowment.org/methodology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subtitle/Reference,Subtitle/Reference,Data Field Names,Units,Notes/Sources,List of oils,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Special Cases Start Here ----->,d,d,d,d,d,d,d,d,d,,
,,Region,,,Middle East & N. Africa,Sub-Saharan Africa,Sub-Saharan Africa,Sub-Saharan Africa,Asia-Pacific,Russia & Eurasia,S. America & Carribean,S. America & Carribean,North America,Asia-Pacific,Asia-Pacific,Asia-Pacific,S. America & Carribean,S. America & Carribean,S. America & Carribean,Asia-Pacific,Asia-Pacific,Asia-Pacific,Middle East & N. Africa,Middle East & N. Africa,Middle East & N. Africa,Middle East & N. Africa,Middle East & N. Africa,Middle East & N. Africa,Russia & Eurasia,Middle East & N. Africa,Middle East & N. Africa,Middle East & N. Africa,North America,Sub-Saharan Africa,Sub-Saharan Africa,Sub-Saharan Africa,Sub-Saharan Africa,Sub-Saharan Africa,Sub-Saharan Africa,Europe,Europe,Europe,Middle East & N. Africa,Middle East & N. Africa,Russia & Eurasia,Russia & Eurasia,Middle East & N. Africa,Middle East & N. Africa,Middle East & N. Africa,Middle East & N. Africa,Middle East & N. Africa,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,S. America & Carribean,S. America & Carribean,North America,North America,North America,North America,Europe,North America,Russia & Eurasia,Europe,S. America & Carribean,,
,,Onshore/Offshore,,,Onshore,Onshore,Offshore,Offshore,Offshore,Offshore,Offshore,Offshore,Offshore,Offshore,Offshore,Offshore,Onshore,Onshore,Onshore,Offshore,Onshore,Onshore,Offshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Offshore,Offshore,Offshore,Offshore,Offshore,Onshore,Offshore,Offshore,Offshore,Offshore,Offshore,Onshore,Onshore,Onshore,Onshore,Offshore,Offshore,Offshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Offshore,Onshore,Onshore,Onshore,Onshore,Offshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Offshore,Offshore,Offshore,Offshore,Onshore,,
,,Shallow; Deep; Ultra-Deep,,The bounds for these classifications can be changed on the 'Classification Bounds' sheet,Deep,Shallow,Deep,Shallow,Deep,Deep,Shallow,Ultra-Deep,Deep,Deep,Deep,Shallow,Deep,Ultra-Deep,Deep,Shallow,Shallow,Shallow,Shallow,Deep,Shallow,Deep,Deep,Ultra-Deep,Ultra-Deep,Shallow,Shallow,Shallow,Ultra-Deep,Ultra-Deep,Deep,Ultra-Deep,Deep,Shallow,Ultra-Deep,Deep,Deep,Ultra-Deep,Deep,Shallow,Shallow,Shallow,Shallow,Shallow,Shallow,Deep,Deep,Deep,Deep,Deep,Deep,Deep,Deep,Shallow,Ultra-Deep,Ultra-Deep,Shallow,Shallow,Shallow,Deep,Ultra-Deep,Shallow,Shallow,Deep,Shallow,Shallow,Shallow,Shallow,Shallow,Shallow,Shallow,Deep,Ultra-Deep,Deep,Deep,,
,,Flaring Class,,The bounds for these classifications can be changed on the 'Classification Bounds' sheet,Low Flare,Minimal Flare,Low Flare,Low Flare,Minimal Flare,Minimal Flare,Minimal Flare,Low Flare,Minimal Flare,Low Flare,Low Flare,Minimal Flare,Low Flare,Minimal Flare,Low Flare,Low Flare,Minimal Flare,Low Flare,Low Flare,Low Flare,Low Flare,Low Flare,Low Flare,Ultra High Flare,Minimal Flare,Minimal Flare,Low Flare,Minimal Flare,Minimal Flare,Minimal Flare,Minimal Flare,High Flare,Ultra High Flare,High Flare,High Flare,Minimal Flare,Minimal Flare,Low Flare,Low Flare,Low Flare,Minimal Flare,Minimal Flare,Minimal Flare,Minimal Flare,Minimal Flare,Minimal Flare,Minimal Flare,Minimal Flare,High Flare,Minimal Flare,Low Flare,Low Flare,Ultra High Flare,Minimal Flare,Minimal Flare,Minimal Flare,Minimal Flare,Minimal Flare,Minimal Flare,Low Flare,Low Flare,Minimal Flare,Minimal Flare,Minimal Flare,Minimal Flare,Minimal Flare,Minimal Flare,Minimal Flare,Minimal Flare,Minimal Flare,Low Flare,Minimal Flare,Minimal Flare,Low Flare,Minimal Flare,,
,,Watery Oil,,The bounds for these classifications can be changed on the 'Classification Bounds' sheet,Watery Oil,Low Water,Low Water,Watery Oil,Low Water,Low Water,Low Water,Low Water,Low Water,Low Water,Low Water,Watery Oil,Low Water,Low Water,Low Water,Watery Oil,Low Water,Watery Oil,Low Water,Watery Oil,Low Water,Low Water,Low Water,Low Water,Low Water,Low Water,Low Water,Watery Oil,Low Water,Low Water,Low Water,Low Water,Low Water,Low Water,Watery Oil,Low Water,Low Water,Low Water,Watery Oil,Watery Oil,Low Water,Watery Oil,Low Water,Low Water,Watery Oil,Low Water,Low Water,Low Water,Low Water,Low Water,Low Water,Low Water,Low Water,Watery Oil,Watery Oil,Low Water,Watery Oil,Watery Oil,Watery Oil,Low Water,Low Water,Watery Oil,Watery Oil,Low Water,Low Water,Watery Oil,Low Water,Low Water,Low Water,Low Water,Low Water,Low Water,Low Water,Watery Oil,Low Water,,
,,Gassy Oil,,The bounds for these classifications can be changed on the 'Classification Bounds' sheet,High Gas,Low Gas,Low Gas,Medium Gas,Medium Gas,Medium Gas,Medium Gas,Medium Gas,Low Gas,Medium Gas,Medium Gas,Very Low Gas,Very Low Gas,Medium Gas,Low Gas,High Gas,Very Low Gas,Medium Gas,Low Gas,Medium Gas,Medium Gas,Low Gas,Low Gas,Medium Gas,Low Gas,Low Gas,Low Gas,Medium Gas,Medium Gas,Medium Gas,Low Gas,High Gas,Medium Gas,High Gas,Medium Gas,Medium Gas,Medium Gas,Medium Gas,Medium Gas,Medium Gas,Very Low Gas,Low Gas,Low Gas,Low Gas,Medium Gas,Medium Gas,Medium Gas,High Gas,Medium Gas,Medium Gas,Low Gas,Medium Gas,Medium Gas,Low Gas,Medium Gas,Medium Gas,Low Gas,Low Gas,Low Gas,Medium Gas,Low Gas,Medium Gas,Low Gas,Low Gas,Low Gas,Low Gas,Low Gas,Very Low Gas,Very Low Gas,Very Low Gas,Medium Gas,Medium Gas,Medium Gas,Low Gas,Medium Gas,,
,,EOR,,,,,,,,,,,,,,EOR,,,EOR,EOR,EOR,,,,,,,,,,EOR,,,EOR,,,,,,,,,,,EOR,EOR,,,,,,EOR,,,,,,EOR,,EOR,EOR,,EOR,,EOR,,EOR,EOR,,EOR,,,,,,EOR,,,EOR,,
,,OPEC,,,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,,
,,Refinery exception,,,3,,1,,,,1,,,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,1,,1,,,,1,,1,,1,1,,,,,,,,,
,,Absolute Emissions Icons,,,"Flaring, Venting and Fugitives, Pumping, Refinery heat, ",,"Petcoke, Refinery heat, Refinery hydrogen",,"Venting and Fugitives, ",,"Petcoke, Refinery heat, Refinery hydrogen",Refinery hydrogen,,"Venting and Fugitives, Petcoke, Refinery hydrogen","Flaring, ","Petcoke, Refinery heat, Refinery hydrogen","Land Use, ","Pumping, Refinery heat, ","Flaring, Land Use, ","Flaring, Venting and Fugitives, Pumping, ","Land Use, Steam, Petcoke, Refinery heat, Refinery hydrogen","Pumping, ","Flaring, ","Flaring, Land Use, Pumping, ","Flaring, Refinery hydrogen","Flaring, ","Flaring, Land Use, ","Flaring, ","Refinery heat, ",Refinery hydrogen,"Flaring, ","Venting and Fugitives, Pumping, ","Pumping, ","Venting and Fugitives, ",,"Flaring, Land Use, Venting and Fugitives, ","Flaring, ","Flaring, Land Use, Venting and Fugitives, ","Flaring, ",Refinery hydrogen,"Venting and Fugitives, ","Venting and Fugitives, ","Flaring, Pumping, Refinery hydrogen","Venting and Fugitives, Pumping, ","Land Use, ","Pumping, ",,,,"Refinery heat, Refinery hydrogen","Refinery heat, ","Venting and Fugitives, ","Flaring, ",,,"Flaring, Land Use, Venting and Fugitives, Refinery heat, ","Flaring, Venting and Fugitives, Refinery heat, ","Venting and Fugitives, Pumping, ","Pumping, ","Venting and Fugitives, Pumping, ","Steam, Petcoke, Refinery heat, Refinery hydrogen","Land Use, Pumping, ","Steam, Petcoke, Refinery heat, Refinery hydrogen","Pumping, ",,"Land Use, Venting and Fugitives, Pumping, ","Pumping, Petcoke, Refinery heat, Refinery hydrogen","Land Use, ","Land Use, Upgrading, Petcoke, Refinery heat, Refinery hydrogen","Land Use, Steam, Petcoke, ","Land Use, Steam, Petcoke, Refinery heat, Refinery hydrogen","Land Use, Steam, Petcoke, Refinery heat, Refinery hydrogen","Land Use, Upgrading, Petcoke, Refinery heat, Refinery hydrogen","Land Use, Upgrading, Petcoke, ","Petcoke, ",,"Venting and Fugitives, ","Pumping, ","Land Use, Steam, Venting and Fugitives, Pumping, Refinery heat, Refinery hydrogen",,
,,PRELIM Refinery Inlet (bbl/d),,,"100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000",,
,,Overall Crude Category,,,Condensate,Medium,Medium,Medium,Ultra-Light,Light,Heavy,Ultra-Deep,Light,Heavy,Light,Heavy,Medium,Ultra-Deep,Medium,High Gas,Heavy,Depleted,Medium,Medium,Light,Medium,Medium,Ultra-Deep,Ultra-Light,Medium,Medium,Depleted,Ultra-Deep,Ultra-Light,Medium,High Gas,Light,High Gas,Ultra-Deep,Light,Light,Ultra-Deep,Light,Depleted,Depleted,Light,Light,Medium,Medium,Medium,Light,High Gas,Light,Light,Light,Condensate,Condensate,Depleted,Depleted,Ultra-Deep,Depleted,Depleted,Depleted,Light,Ultra-Deep,Light,Depleted,Depleted,Extra-Heavy,Extra-Heavy,Extra-Heavy,Extra-Heavy,Extra-Heavy,Extra-Heavy,Light,Depleted,Ultra-Deep,Light,Extra-Heavy,,
,,Crude Exporter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total Emissions,,,486.9,504.1,499.5,511.7,466.2,484.6,588.1,553.7,486.9,610.3,512.5,587.3,505.6,507.8,531.7,552.9,711.1,510.3,517.4,553.5,532.5,534.3,531.2,593,462.7,510.4,503.6,505.3,492.8,470.7,504.1,610.7,583.4,636.9,536.5,480.8,527.2,487.1,518.5,519.8,500.8,499.4,491.3,495,502.7,524,480.2,563.9,531.6,471,476.7,458.4,574.5,509.8,586.8,508.1,725.4,514,689.6,479.6,504.9,467.3,624.7,491.4,703.8,632.6,667.4,600.8,736.3,728.8,504.9,504,509.3,517.4,604.4,,
OPGEE - Oil Production Greenhouse Gas Emissions Estimator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oil Sands Inputs Only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,Canada,Canada,Canada,,,,,,,
,,Oil Field Name,,,INTENTIONALLY LEFT BLANK FOR ALL CONVENTIONAL OILS,,,,,,,,,,,,,,,,,,,,,INTENTIONALLY LEFT BLANK FOR ALL CONVENTIONAL OILS,,,,,,,,,,,,,,,,,,,,,INTENTIONALLY LEFT BLANK FOR ALL CONVENTIONAL OILS,,,,,,,,,,,,,,,,,,INTENTIONALLY LEFT BLANK FOR ALL CONVENTIONAL OILS,,,,,,Cold Lake,Christina Lake,Athabasca DC SCO,Athabasca FC-HC SCO,Please check OPGEE special case workbook DANSK BLEND for results calculations,Please check OPGEE special case workbook CANTARELL for results calculations,Please check OPGEE special case workbook CHAYVO for results calculations,Please check OPGEE special case workbook FORTIES AVERAGE for results calculations,,,
,,,,"Oil sands can not be put into the Bulk Assessment of OPGEE.   Instead these values have to be entered manually.  The respective cells for these numbers are listed below.  Unless otherwise stated, the values should be pasted into the 'Bitumen Extraction and Upgrading' Sheet of OPGEE.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Crude API Gravity,deg. API,M31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2,8,8,8,,,,,,,
,,SCO API Gravity,deg. API,M36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.8,32.2,,,,,,,
,,Diluent API Gravity,deg. API,M41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.7,59.37230216,,,,,,,,,
,,Oil production rate,bbl/d,User Inputs and Results'!J70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154100,27000,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Hydrocarbon upgraded?,Y/N,M52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,1,,,,,,,
